name                    , slug                    , description                          , assets              , optionGroups  , optionValues     , sku    , price , taxCategory , variantAssets   , facets
Perfect Paper Stretcher , perfect-paper-stretcher , A great device for stretching paper. , "pps1.jpg|pps2.jpg" , size          , Half Imperial    , PPS12  , 45.3  , standard    ,                 , Brand:KB|Type:Accessory
                        ,                         ,                                      ,                     ,               , Quarter Imperial , PPS14  , 32.5  , standard    ,                 , Brand:KB|Type:Accessory
                        ,                         ,                                      ,                     ,               , Full Imperial    , PPSF   , 59.5  , standard    ,                 , Brand:KB|Type:Accessory
Mabef M/02 Studio Easel ,                         , Mabef description                    ,                     ,               ,                  , M02    , 910.7 , standard    ,                 , Brand:Mabef|Type:Easel
Giotto Mega Pencils     ,                         , Really mega pencils                  ,                     , box size      , Box of 8         , 225400 , 4.16  , standard    , "box-of-8.jpg"  , Collection:Xmas Sale
                        ,                         ,                                      ,                     ,               , Box of 12        , 225600 , 6.24  , standard    , "box-of-12.jpg" , Collection:Xmas Sale

Artists Smock           ,                         , Keeps the paint off the clothes      ,                     , "size|colour" , "small|beige"    , 10112  , 11.99 , reduced     ,                 ,
                        ,                         ,                                      ,                     ,               , "large|beige"    , 10113  , 11.99 , reduced     ,                 ,
                        ,                         ,                                      ,                     ,               , "small|navy"     , 10114  , 11.99 , reduced     ,                 ,
                        ,                         ,                                      ,                     ,               , "large|navy"     , 10115  , 11.99 , reduced     ,                 ,
